mot,définition
image,Représentation (ou réplique) perceptible d'un être ou d'une chose.
image,Reproduction inversée d'un objet renvoyée par une surface réfléchissante.
image,Image qui se forme sur la rétine de l'œil.
image,"Ensemble des points où viennent converger (ou semblent venir converger), après passage dans un système optique, les rayons lumineux provenant des points d'un objet donné (d'apr. Uv.-Chapman 1956 et Sc. 1962)."
image,"Image pouvant être reçue sur un écran, formée par l'ensemble des points où convergent réellement les rayons lumineux provenant d'un objet donné."
image,"Image ne pouvant être reçue par un écran, formée en des points où semblent converger les rayons lumineux provenant d'un objet donné."
image,",,Image d'un objet telle qu'elle est vue dans un miroir plan`` (Uv.-Chapman 1956)."
image,"Image inversée, enregistrée, après exposition, par la couche sensible du support."
image,Image obtenue après copie du négatif et restituant l'aspect de l'objet tel qu'il a été enregistré.
image,Image invisible (rendue visible par le développement du négatif) enregistrée sur une émulsion photographique à la suite d'une transformation chimique provoquée par l'exposition à un rayonnement lumineux.
image,"Photographie ou image, formée sur un écran fluorescent, de la structure interne d'un corps traversé par les rayons X."
image,",,Technique mécanique qui consiste à impressionner le film, image par image, à des fins d'animation d'objets, dessins, etc.`` (Cham. 1969) :"
image,Ensemble des lignes horizontales décrites par l'analyse d'une image optique aboutissant à sa transformation en signal électronique.
image,Image enregistrée sur support magnétique à l'aide de signaux électroniques.
image,Image produite et transmise à l'aide de signaux électroniques.
image,"Forme sous laquelle un objet est perçu, aspect nouveau ou particulier sous lequel un être ou une chose apparaît."
image,"Scène, tableau réel."
image,",,Se dit d'une femme qui est belle mais froide et sans physionomie`` (Ac.)."
image,Représentation de la forme ou de l'aspect d'un être ou d'une chose
image,"par le dessin, la peinture [gén. avec un compl. déterminatif désignant l'objet représenté]."
image,"Manière de représenter, façon de dessiner."
image,par des procédés d'enregistrement photographique.
image,"par la reproduction au moyen de procédés d'impression de tels dessins, peintures ou photographies."
image,"Livre composé essentiellement de dessins, de gravures."
image,"Calme, posé, silencieux."
image,par les arts plastiques.
image,"Droit accordé d'abord aux nobles, puis aux plébéiens, d'exposer dans leur atrium les bustes (en pierre ou en cire peinte) de leurs ancêtres ayant exercé une magistrature curule."
image,Représentation d'êtres ou de choses qui sont l'objet d'un culte ou d'une vénération.
image,Petite estampe (qui n'a pas un caractère d'œuvre originale) représentant des sujets divers.
image,"Image populaire, fabriquée à Épinal (représentant généralement une scène d'une chanson, d'une légende, un événement historique, un homme célèbre)."
image,Tableau peint avec des couleurs criardes. (Dict. xixeet xxes.).
image,Mauvaise peinture.
image,"Représentation par la parole ou l'écriture, description."
image,"Portrait, réplique, reflet (d'un être ou d'une réalité concrète)."
image,"Sur le modèle de, à la ressemblance de, en conformité avec."
image,"Réplique d'un être ou d'une chose, mais qui n'en reproduit pas réellement, formellement l'aspect."
image,"Manifestation, expression sensible de l'invisible ou de l'abstrait [Constr. avec un compl. déterminatif introd. par de]."
image,Représentation concrète servant à rendre sensible une idée abstraite.
image,Symbole.
image,Figure (au sens le plus large du terme) fondée sur la similitude (notamment allégorie).
image,"Métaphore (ou, plus rarement, comparaison)."
image,",,Partie d'un ensemble B déduite d'un ensemble A par une correspondance associant à chaque élément de A un élément de B`` (Uv.-Chapman 1956)."
image,Représentation mentale.
image,"Représentation, reproduction mentale d'une perception, d'une sensation précédemment éprouvée."
image,"Face matérielle, sensible d'un signe linguistique (signifiant) lié au signifié."
image,"Vision intérieure, conception (plus ou moins exacte) d'un être ou d'une chose."
image,",,Ensemble des représentations, à la fois affectives et rationnelles, d'un consommateur concernant un produit, une marque ou une entreprise`` (cida 1973)."
image,"Impression globale (positive ou négative) que le public peut avoir d'un personnage marquant, d'un homme politique, d'une institution."
image,Représentation mentale produite par l'imagination.
